x	y	Class
continuous	continuous	discrete
		class
0.469395783724	0.480391683317	C1
0.466899780677	0.488630353312	C1
0.46969939112	0.476925733389	C1
0.473996095151	0.467481467527	C1
0.474423160846	0.480813754003	C1
0.46867963841	0.469795927349	C1
0.481695538764	0.484460045881	C1
0.478783496738	0.490994306173	C1
0.484071714997	0.483333694624	C1
0.476818442007	0.49154823456	C1
0.481095957803	0.469899144952	C1
0.468841737344	0.476409479284	C1
0.469075860374	0.485204045733	C1
0.469526079778	0.487894928396	C1
0.474597136489	0.482442439013	C1
0.473113612083	0.483873488586	C1
0.47246179111	0.482634177448	C1
0.469100845166	0.477131655834	C1
0.46309791669	0.487445619825	C1
0.470366658374	0.478656776546	C1
0.468624308784	0.475707648158	C1
0.467065214093	0.616810287781	C2
0.465418727352	0.619596356137	C2
0.473296290238	0.625809551133	C2
0.441224370883	0.617103008676	C2
0.451359859664	0.610933881796	C2
0.446956657055	0.620247697094	C2
0.391771734188	0.604301845074	C2
0.396200335035	0.603107924688	C2
0.406418378582	0.601101916066	C2
0.370757486064	0.581326120008	C2
0.379346136368	0.58399600677	C2
0.376844234965	0.581551411146	C2
0.361981839574	0.537723731517	C2
0.375452092527	0.536428253499	C2
0.370891305073	0.541779710868	C2
0.358920406772	0.486982474353	C2
0.358932747823	0.485333822409	C2
0.357038950327	0.482304429278	C2
0.365779791916	0.450119736458	C2
0.36564122065	0.451548536381	C2
0.384617098414	0.459218519663	C2
0.368472649863	0.422541259539	C2
0.369466079028	0.416503169498	C2
0.365623513866	0.420683661925	C2
0.40445754659	0.386108689701	C2
0.395071636342	0.382240603513	C2
0.393761491286	0.383159373291	C2
0.386720281692	0.397895123103	C2
0.390917680063	0.402274062997	C2
0.390309845338	0.407958208786	C2
0.455680425918	0.354242514244	C2
0.460080287278	0.352967343409	C2
0.454918813003	0.359855409281	C2
0.430705587148	0.370816872926	C2
0.434955009391	0.366427303817	C2
0.435523940442	0.366776900396	C2
0.510884530611	0.362509006528	C2
0.522274180039	0.373692023171	C2
0.501850358775	0.36920171359	C2
0.534781243113	0.385758875242	C2
0.541414420176	0.383092515626	C2
0.542308792526	0.374551900785	C2
0.552629326521	0.392723157413	C2
0.557518849975	0.379819599178	C2
0.563802024858	0.394202861773	C2
0.58156052037	0.398824928694	C2
0.568170322424	0.40745646603	C2
0.562585514272	0.402109434776	C2
0.586232809321	0.420998476636	C2
0.570859473176	0.437035319764	C2
0.574780293906	0.418917289583	C2
0.583775133366	0.463628285545	C2
0.591000883372	0.456977790319	C2
0.600130775959	0.455748694981	C2
0.593361228898	0.467589494167	C2
0.593405138137	0.470801089275	C2
0.578769024795	0.475451583091	C2
0.561001933241	0.569370336961	C2
0.564422913857	0.567170279281	C2
0.564245177171	0.576779759028	C2
0.535368653549	0.593384135186	C2
0.541794282234	0.604889668668	C2
0.544316856234	0.599044444608	C2
0.534358543752	0.590010723388	C2
0.533632108881	0.598088306816	C2
0.529920518892	0.596315286578	C2
0.507861135737	0.613877304649	C2
0.500871542903	0.621598776941	C2
0.503557737808	0.613838276295	C2
0.506814574738	0.618630839579	C2
0.494850505661	0.62149311046	C2
0.495023177888	0.626249928728	C2
0.59114741625	0.509933594774	C2
0.588955589755	0.51547417	C2
0.590002531246	0.507281812486	C2
0.589912978278	0.505527664553	C2
0.576533362175	0.516178612812	C2
0.582388942565	0.508475038594	C2
0.582690043842	0.516208435315	C2
0.587917265474	0.525893831609	C2
0.575751778709	0.528530317802	C2
0.584192923113	0.537558825557	C2
0.588455444253	0.541259808996	C2
0.580577728329	0.539698931325	C2
0.569101053959	0.536370788102	C2
0.57563635283	0.548188960205	C2
0.571930103856	0.536186724622	C2
0.256310011761	0.623452444269	C3
0.264201433054	0.638327155198	C3
0.250755831731	0.631861868421	C3
0.241815029457	0.560113950142	C3
0.24556413832	0.564479086638	C3
0.238374468226	0.554053663162	C3
0.248946618039	0.555548107209	C3
0.238432395282	0.552115290495	C3
0.244786414866	0.551954743906	C3
0.241294400133	0.539351209719	C3
0.253459989691	0.543893078249	C3
0.232920844187	0.549742087944	C3
0.24028313981	0.597455718675	C3
0.2422512061	0.610644791869	C3
0.252292414738	0.599815605204	C3
0.243976530519	0.57381471568	C3
0.248028212395	0.567712435971	C3
0.240280478116	0.575080522166	C3
0.251621727158	0.496670605235	C3
0.243871253489	0.498060111537	C3
0.249330112081	0.493590839437	C3
0.24074240045	0.458699491496	C3
0.243075084715	0.461458162202	C3
0.255079153001	0.463761828588	C3
0.2517759665	0.43252451084	C3
0.262515285979	0.441451713602	C3
0.244631442855	0.444451028737	C3
0.271784405274	0.376823266253	C3
0.269691648351	0.379624827751	C3
0.265018912302	0.375327140265	C3
0.296879634888	0.353602332116	C3
0.286987221839	0.339853303406	C3
0.30020850412	0.343754686978	C3
0.322437068971	0.308986151172	C3
0.319856246099	0.30396106551	C3
0.324845035988	0.304598055014	C3
0.37427952822	0.271919647345	C3
0.361389271815	0.264387215889	C3
0.373030596217	0.263951986309	C3
0.427423323904	0.254661829781	C3
0.423002596833	0.258485870477	C3
0.440030603533	0.253912894041	C3
0.451491300801	0.24769667465	C3
0.445746767882	0.2466345702	C3
0.443266441672	0.251033194884	C3
0.452955545595	0.25445978718	C3
0.460958149948	0.239114404626	C3
0.467921627562	0.248849992728	C3
0.472270413399	0.248564667635	C3
0.475578537268	0.261386565493	C3
0.48496723593	0.244446064246	C3
0.518604831013	0.25446895357	C3
0.510460572564	0.260332050079	C3
0.503096536408	0.247906634072	C3
0.528672062597	0.260771038649	C3
0.531911681327	0.261523177971	C3
0.536431556739	0.25661437579	C3
0.531374876467	0.259292704925	C3
0.532549760355	0.249548119598	C3
0.533539591301	0.248229353231	C3
0.561489487225	0.273545114441	C3
0.567097207758	0.269124653485	C3
0.560521268642	0.273464112382	C3
0.583164603779	0.293030262205	C3
0.589077559151	0.283014641121	C3
0.578143450227	0.283168630393	C3
0.601377077392	0.298251945714	C3
0.598004011798	0.29915922187	C3
0.599283680515	0.295745448729	C3
0.603411924481	0.290080282953	C3
